"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength"
"1114","Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-C",37.5,-74,NA,"2003","control region",28,"900",0.548,0.114,0.0669,NA,"mtdna101",40.6
"1115","Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-N",40,-70,NA,"2003","control region",27,"900",0.655,0.105,0.0798,NA,"mtdna101",40.6
"1116","Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-S",35.5,-74.5,NA,"2003","control region",35,"900",0.694,0.081,0.0793,NA,"mtdna101",40.6
"1117","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-CN",41,-69,"SHAKEGOMNGB","2003","control region",117,"900",0.827,0.022,0.0044,NA,"mtdna101",76
"1118","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-CS",39.5,-72,"SHAKESGBMATL","2003","control region",32,"900",0.699,0.055,0.0029,NA,"mtdna101",76
"1119","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-N",43,-66.5,"SHAKEGOMNGB","2003","control region",29,"900",0.855,0.051,0.0047,NA,"mtdna101",76
"1120","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-S",37.5,-74,"SHAKESGBMATL","2003","control region",30,"900",0.637,0.054,0.0024,NA,"mtdna101",76
"1121","Merluccius capensis","Shallow-water Cape hake","von der Heyden Lipinski Matthee 2007","Namibia","Namibia",-27.5,14.809363,"CHAKESA","2005","control region",74,"414",0.87,NA,0.0057,NA,"mtdna101",140
"1122","Merluccius capensis","Shallow-water Cape hake","von der Heyden Lipinski Matthee 2007","South Africa","SA1",-30,16.523231,"CHAKESA","2005","control region",157,"414",0.88,NA,0.006,NA,"mtdna101",140
"1123","Merluccius capensis","Shallow-water Cape hake","von der Heyden Lipinski Matthee 2007","South Africa","SA2",-33.5,17.621864,"CHAKESA","2005","control region",81,"414",0.85,NA,0.0053,NA,"mtdna101",140
"1124","Merluccius paradoxus","Deep-water Cape hake","von der Heyden Lipinski Matthee 2007","Namibia","Namibia",-28,15.018104,"DEEPCHAKESA","2005","control region",56,"414",0.57,NA,0.0015,NA,"mtdna101",115
"1125","Merluccius paradoxus","Deep-water Cape hake","von der Heyden Lipinski Matthee 2007","South Africa","SA2B",-33.5,17.731727,"DEEPCHAKESA","2005","control region",143,"414",0.52,NA,0.0013,NA,"mtdna101",115
"1126","Merluccius paradoxus","Deep-water Cape hake","von der Heyden Lipinski Matthee 2007","South Africa ","SA1B",-30,16.31449,"DEEPCHAKESA","2005","control region",134,"414",0.44,NA,0.0011,NA,"mtdna101",115
"1127","Micropogonias furnieri","Whitemouth croaker","Pereira et. al 2009 Journal of Fish Biology 75:321-331","Argentina","Bahia Blanca",-39.05,-61.8,NA,"","control region",27,"750",0.558,NA,0.0024,NA,"mtdna101",60
"1128","Micropogonias furnieri","Whitemouth croaker","Pereira et. al 2009 Journal of Fish Biology 75:321-331","Brazil","Atlantic Ocean",-33.6,-53.06,NA,"","control region",27,"750",0.986,NA,0.0078,NA,"mtdna101",60
"1129","Micropogonias furnieri","Whitemouth croaker","Pereira et. al 2009 Journal of Fish Biology 75:321-331","Urugauy","Rio de la Plata",-34.7,-57.08,NA,"","control region",26,"750",0.455,NA,0.0036,NA,"mtdna101",60
"1130","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Apalachicola",29.719077,-84.968155,NA,"2016","control region",36,"424",0.983,NA,0.016,NA,"mtdna102",55
"1131","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Bay St. Louis",30.30666,-89.311634,NA,"2016","control region",35,"424",0.966,NA,0.013,NA,"mtdna102",55
"1132","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Cedar Lakes",28.827367,-95.528208,NA,"2016","control region",66,"424",0.976,NA,0.015,NA,"mtdna102",55
"1133","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Jacksonville",30.403458,-81.38047,NA,"2016","control region",30,"424",0.926,NA,0.012,NA,"mtdna102",55
"1134","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Laguna Madre",26.726098,-97.43534,NA,"2016","control region",63,"424",0.97,NA,0.012,NA,"mtdna102",55
"1135","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Sabine Lake",29.913284,-93.845511,NA,"2016","control region",45,"424",0.972,NA,0.013,NA,"mtdna102",55
"1136","Microstomus pacificus","Dover sole","Stepien 1999","USA","Cape Mendocino, Northern California",40,-124,"DSOLEPCOAST","","control region",19,"471",0.98,NA,0.011,NA,"mtdna101",76
"1137","Microstomus pacificus","Dover sole","Stepien 1999","USA","Seward, Bering Sea, Alaska",58.573926,-149.248033,"DSOLEGA","","control region",17,"471",1,NA,0.015,NA,"mtdna101",76
"1138","Miichthys miiuy","Mi-iuy croaker","Cheng et al. 2011 Biochemical Systematics and Ecology 39:718-724","East China Sea","Ruian ",27.1,120.066666666667,NA,"","control region",14,"369",1,NA,0.00906,NA,"mtdna101",70
"1139","Miichthys miiuy","Mi-iuy croaker","Cheng et al. 2011 Biochemical Systematics and Ecology 39:718-724","East China Sea","Wenling",28.05,121.068055555556,NA,"","control region",12,"369",1,NA,0.00819,NA,"mtdna101",70
"1140","Miichthys miiuy","Mi-iuy croaker","Cheng et al. 2011 Biochemical Systematics and Ecology 39:718-724","East China Sea","Wenzhou",28,121,NA,"","control region",13,"369",0.98718,NA,0.01004,NA,"mtdna101",70
"1141","Miichthys miiuy","Mi-iuy croaker","Cheng et al. 2011 Biochemical Systematics and Ecology 39:718-724","East China Sea","Xiangshan",29.05,122.018055555556,NA,"","control region",11,"369",1,NA,0.01413,NA,"mtdna101",70
"1142","Miichthys miiuy","Mi-iuy croaker","Cheng et al. 2011 Biochemical Systematics and Ecology 39:718-724","East China Sea","Yueqing",28.0166666666667,121.033333333333,NA,"","control region",12,"369",1,NA,0.00952,NA,"mtdna101",70
"1143","Miichthys miiuy","Mi-iuy croaker","Cheng et al. 2011 Biochemical Systematics and Ecology 39:718-724","East China Sea","Zhoushan",30,122.05,NA,"","control region",14,"369",0.87912,NA,0.00882,NA,"mtdna101",70
"1144","Miichthys miiuy","Mi-iuy croaker","Xu et al. 2014 Biochemical Systematics and Ecology 54:240-246","China","Chongming",31.508755,122.056126,NA,"","cytochrome c oxidase subunit I",30,"599",0.602,0.01899,0.00218,0.00093,"mtdna102",70
"1145","Miichthys miiuy","Mi-iuy croaker","Xu et al. 2014 Biochemical Systematics and Ecology 54:240-246","China","Ningde",26.636358,119.58223,NA,"","cytochrome c oxidase subunit I",19,"599",0.673,0.0273,0.00195,0.00076,"mtdna102",70
"1146","Miichthys miiuy","Mi-iuy croaker","Xu et al. 2014 Biochemical Systematics and Ecology 54:240-246","China","Qingdao",36.040304,120.318091,NA,"","cytochrome c oxidase subunit I",30,"599",0.867,0.01077,0.00425,0.0017,"mtdna102",70
"1147","Miichthys miiuy","Mi-iuy croaker","Xu et al. 2014 Biochemical Systematics and Ecology 54:240-246","China","Zhoushan",29.967071,122.199894,NA,"","cytochrome c oxidase subunit I",30,"599",0.749,0.01534,0.00238,0.00122,"mtdna102",70
"1148","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Cook Islands","Rarotonga",-21.23,-159.78,NA,"","cytb",10,"715",0.96,NA,0.004,NA,"mtdna102",43
"1149","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Djibouti","Djibouti",11.75,43.21,NA,"","cytb",6,"715",0.87,NA,0.005,NA,"mtdna102",43
"1150","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","French Polynesia","Mo'orea",-17.53,-149.83,NA,"","cytb",4,"715",1,NA,0.007,NA,"mtdna102",43
"1151","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Israel","Gulf of Aqaba/Eilat",29.508262,34.972604,NA,"","cytb",10,"715",0.87,NA,0.004,NA,"mtdna102",43
"1152","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Japan","Yoron",27.05,128.43,NA,"","cytb",16,"715",0.68,NA,0.002,NA,"mtdna102",43
"1153","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Madagascar","Madagascar",-25.32,46.17,NA,"","cytb",17,"715",0.88,NA,0.006,NA,"mtdna102",43
"1154","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Saudi Arabia","Farasan Banks",16.75,41.49,NA,"","cytb",5,"715",1,NA,0.004,NA,"mtdna102",43
"1155","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Saudi Arabia","Jeddah",21.49,39.11,NA,"","cytb",23,"715",0.83,NA,0.005,NA,"mtdna102",43
"1156","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Saudi Arabia","Thuwal",22.33,38.85,NA,"","cytb",5,"715",0.9,NA,0.005,NA,"mtdna102",43
"1157","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Seychelles","MahÈ",-4.68,55.48,NA,"","cytb",4,"715",0.67,NA,0.001,NA,"mtdna102",43
"1158","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","Sudan","Sudan",21.02,37.13,NA,"","cytb",10,"715",0.76,NA,0.005,NA,"mtdna102",43
"1159","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","USA","Big Island",19.71,-155.45,NA,"","cytb",44,"715",0.52,NA,0.002,NA,"mtdna102",43
"1160","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","USA","Johnston Atoll",16.73,-169.53,NA,"","cytb",21,"715",0.68,NA,0.003,NA,"mtdna102",43
"1161","Mulloidichthys flavolineatus","Yellowstripe goatfish","Fernandez-Silva 2015 J. Biogeogr. 42:2402-2413","USA","Palmyra",5.87,-162.08,NA,"","cytb",34,"715",0.83,NA,0.002,NA,"mtdna102",43
"1162","Mustelus asterias","Starry smooth-hound","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","cytochrome c oxidase subunit I",8,"610",0.571,0.095,9e-04,9e-04,"mtdna103",140
"1163","Mustelus mustelus","Smooth-hound","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","cytochrome c oxidase subunit I",11,"610",0.346,0.172,9e-04,9e-04,"mtdna103",200
"1164","Mustelus mustelus","Smooth-hound","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","ND2",11,"990",0.182,0.144,2e-04,3e-04,"mtdna103",200
"1165","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Central West Pacific","Canton Island",-2.8,-171.550505,NA,"","cytb",7,"644",0.952,NA,0.003,NA,"mtdna101",30
"1166","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Central West Pacific","Kiribati",1.82,-157.096621,NA,"","cytb",12,"644",0.53,NA,0.003,NA,"mtdna101",30
"1167","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Central West Pacific","Lizard Island",-14.65,145.410793,NA,"","cytb",9,"644",0.722,NA,0.003,NA,"mtdna101",30
"1168","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Central West Pacific","Marquesas",-9.45,-139.05401,NA,"","cytb",18,"644",0.634,NA,0.001,NA,"mtdna101",30
"1169","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Central West Pacific","Moorea",-17.5,-149.978141,NA,"","cytb",18,"644",0.686,NA,0.003,NA,"mtdna101",30
"1170","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","East Pacific","Clipperton",10.3,-109.249751,NA,"","cytb",15,"644",0.533,NA,0.004,NA,"mtdna101",30
"1171","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","East Pacific","Panama",7.69,-82.636009,NA,"","cytb",19,"644",0.626,NA,0.004,NA,"mtdna101",30
"1172","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","French Frigate Shoals",23.75,-166.178168,NA,"","cytb",31,"644",0.624,NA,0.002,NA,"mtdna101",30
"1173","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Hawaii",19.93,-156.296867,NA,"","cytb",31,"644",0.416,NA,0.001,NA,"mtdna101",30
"1174","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Kure",28.39,-178.336444,NA,"","cytb",16,"644",0.7,NA,0.003,NA,"mtdna101",30
"1175","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Lanai",20.82,-157.142693,NA,"","cytb",13,"644",0.423,NA,0.001,NA,"mtdna101",30
"1176","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Midway",28.22,-177.507787,NA,"","cytb",22,"644",0.597,NA,0.003,NA,"mtdna101",30
"1177","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Molokai",21.13,-157.47715,NA,"","cytb",18,"644",0.484,NA,0.002,NA,"mtdna101",30
"1178","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Niihau",21.87,-160.341981,NA,"","cytb",8,"644",0.643,NA,0.001,NA,"mtdna101",30
"1179","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Hawaii","Pearl & Hermes",27.84,-175.80274,NA,"","cytb",5,"644",0.6,NA,0.004,NA,"mtdna101",30
"1180","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Indian Ocean","Cocos-Keeling",-12.1,96.769297,NA,"","cytb",5,"644",0.7,NA,0.002,NA,"mtdna101",30
"1181","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","Indian Ocean","Seychelles",-4.68,55.291537,NA,"","cytb",15,"644",0.829,NA,0.004,NA,"mtdna101",30
"1182","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","West Pacific","Akajima",38.39,141.518794,NA,"","cytb",6,"644",0.8,NA,0.004,NA,"mtdna101",30
"1183","Myripristis berndti","Blotcheye soldierfish","Craig et al. 2007","West Pacific","Okinawa",26.34,128.225279,NA,"","cytb",7,"644",0.286,NA,0.002,NA,"mtdna101",30
"1184","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Europa ",-22.167813,40.365264,NA,"","cytb",45,"771",0.817,NA,0.0031,NA,"mtdna101",30
"1185","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Geyser ",-13.119451,45.656996,NA,"","cytb",31,"771",0.869,NA,0.0042,NA,"mtdna101",30
"1186","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Glorieuses ",-12.212411,46.54919,NA,"","cytb",46,"771",0.892,NA,0.0032,NA,"mtdna101",30
"1187","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Juan de Nova ",-16.936367,42.833112,NA,"","cytb",37,"771",0.907,NA,0.0036,NA,"mtdna101",30
"1188","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Kenya",-3.306071,40.516287,NA,"","cytb",11,"771",0.933,NA,0.0045,NA,"mtdna101",30
"1189","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Madagascar",-17.113171,50.133192,NA,"","cytb",21,"771",0.709,NA,0.0027,NA,"mtdna101",30
"1190","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Mayotte ",-12.444792,44.926579,NA,"","cytb",46,"771",0.886,NA,0.0036,NA,"mtdna101",30
"1191","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Moheli ",-12.416251,43.765684,NA,"","cytb",18,"771",0.817,NA,0.003,NA,"mtdna101",30
"1192","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Moroni ",-12.078651,43.171645,NA,"","cytb",44,"771",0.861,NA,0.0039,NA,"mtdna101",30
"1193","Myripristis berndti","Blotcheye soldierfish","Muths et al. 2011 Marine Ecology Progress Series 443: 167-180","Southwestwern Indian Ocean","Reunion ",-20.699116,54.897288,NA,"","cytb",44,"771",0.864,NA,0.0028,NA,"mtdna101",30
"1194","Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","Brazil","Brazil",-9.406,-33.756674,NA,"1990-1997","cytb",10,"744",0.378,NA,0.001,NA,"mtdna101",25
"1195","Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","Britain","Ascension",-7.929,-14.197362,NA,"1990-1997","cytb",13,"744",0.615,NA,0.002,NA,"mtdna101",25
"1196","Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","Grenada","Grenada",12.297,-61.775228,NA,"1990-1997","cytb",16,"744",0.892,NA,0.004,NA,"mtdna101",25
"1197","Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","Sao Tome and Principe","Sao Tome",0.324,6.860847,NA,"1990-1997","cytb",20,"744",0.758,NA,0.003,NA,"mtdna101",25
"1198","Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","USA","Florida",25.086,-81.841437,NA,"1990-1997","cytb",10,"744",0.978,NA,0.004,NA,"mtdna101",25
"1199","Naso unicornis","Bluespine unicornfish","Horne et al. 2013 Journal of Heredity 104:532-546","USA","Asan",13.476482,144.7136,NA,"2008","control region",56,"250",1,NA,0.0857,NA,"mtdna102",70
"1200","Naso unicornis","Bluespine unicornfish","Horne et al. 2013 Journal of Heredity 104:532-546","USA","Cocos",13.239967,144.652838,NA,"2008","control region",20,"250",1,NA,0.0841,NA,"mtdna102",70
"1201","Naso unicornis","Bluespine unicornfish","Horne et al. 2013 Journal of Heredity 104:532-546","USA","Ipan",13.360093,144.771698,NA,"2008","control region",35,"250",1,NA,0.0924,NA,"mtdna102",70
"1202","Naso unicornis","Bluespine unicornfish","Horne et al. 2013 Journal of Heredity 104:532-546","USA","Pago",13.423933,144.789269,NA,"2008","control region",24,"250",1,NA,0.0813,NA,"mtdna102",70
"1203","Naso unicornis","Bluespine unicornfish","Horne et al. 2013 Journal of Heredity 104:532-546","USA","Saipan",15.209056,145.742519,NA,"2008","control region",28,"250",1,NA,0.0817,NA,"mtdna102",70
"1204","Naso unicornis","Bluespine unicornfish","Horne et al. 2013 Journal of Heredity 104:532-546","USA","Tanguison",13.54346,144.807945,NA,"2008","control region",39,"250",0.99,NA,0.0821,NA,"mtdna102",70
"1205","Nuchequula mannusella","","Gao et al. 2019 Pakistan J. Zool. 51:1527-1535","China","Fangchenggang",21.660433,108.339258,NA,"2014","cytb",29,"1141",0.43,NA,6e-04,NA,"mtdna102",10.1
"1206","Nuchequula mannusella","","Gao et al. 2019 Pakistan J. Zool. 51:1527-1535","China","Leizhou Bay of Zhanjiang",20.944844,110.359368,NA,"2014","cytb",12,"1141",0.58,NA,0.00071,NA,"mtdna102",10.1
"1207","Nuchequula mannusella","","Gao et al. 2019 Pakistan J. Zool. 51:1527-1535","China","Lianzhou Bay of Beihai",21.528536,109.021783,NA,"2015","cytb",30,"1141",0.59,NA,0.00073,NA,"mtdna102",10.1
"1208","Nuchequula mannusella","","Gao et al. 2019 Pakistan J. Zool. 51:1527-1535","China","Shantou",23.319399,116.786672,NA,"2014","cytb",30,"1141",0.42,NA,0.00041,NA,"mtdna102",10.1
"1209","Nuchequula mannusella","","Gao et al. 2019 Pakistan J. Zool. 51:1527-1535","China","Xiamen",24.439131,118.162752,NA,"2015","cytb",32,"1141",0.39,NA,0.00038,NA,"mtdna102",10.1
"1210","Nuchequula mannusella","","Gao et al. 2019 Pakistan J. Zool. 51:1527-1535","China","Zhuhai",22.284529,113.611623,NA,"2015","cytb",30,"1141",0.51,NA,0.00052,NA,"mtdna102",10.1
"1211","Odonus niger","Red-toothed triggerfish","Matias et al. 2013 Mitochondrial DNA 24:584-595","Philippines","Mabini",13.700853,120.876967,NA,"","control region",21,"891",1,0.0033,0.0461,0.0012,"mtdna102",50
"1212","Odonus niger","Red-toothed triggerfish","Matias et al. 2013 Mitochondrial DNA 24:584-595","Philippines","Tingloy",13.658826,120.882568,NA,"","control region",14,"891",1,0.0072,0.0467,0.0017,"mtdna102",50
"1213","Okamejei kenojei","Ocellate spot skate","Misawa et al. 2018 Fishery Bulletin 117:24-36","Japan","East China Sea",32.90658,130.716779,NA,"","control region",31,"597",0.6989,0.008944344,0.0016,0.000233487,"mtdna102",57
"1214","Okamejei kenojei","Ocellate spot skate","Misawa et al. 2018 Fishery Bulletin 117:24-36","Japan","Osaka Bay",34.50296,135.186743,NA,"","control region",24,"597",0.0833,0.015288898,1e-04,0.000612372,"mtdna102",57
"1215","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Bodega Bay, California",38.334,-123.096967,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",47,"548",NA,NA,0.003,NA,"mtdna101",152
"1216","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Eureka, California",40.820319,-124.225185,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",40,"548",NA,NA,0.003,NA,"mtdna101",152
"1217","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Kodiak Island, Alaska",57.017,-152.806854,NA,"1999","cytochrome c oxidase subunit I",6,"548",NA,NA,0.004,NA,"mtdna101",152
"1218","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Monterey Bay, California",36.614,-122.153004,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",12,"548",NA,NA,0.004,NA,"mtdna101",152
"1219","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Point Defiance, Washington",47.413,-122.377085,"LINGCODNPCOAST","1999","cytochrome c oxidase subunit I",15,"548",NA,NA,0.004,NA,"mtdna101",152
"1220","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","San Francisco, California",37.818,-122.544719,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",30,"548",NA,NA,0.003,NA,"mtdna101",152
"1221","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","San Juan Islands, Washington",48.517,-122.953711,"LINGCODNPCOAST","1999","cytochrome c oxidase subunit I",20,"548",NA,NA,0.002,NA,"mtdna101",152
"1222","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Straits of Juan de Fuca, Washington",48.316,-123.28435,"LINGCODNPCOAST","1999","cytochrome c oxidase subunit I",16,"548",NA,NA,0.001,NA,"mtdna101",152
"1223","Opistognathus aurifrons","Yellowhead jawfish","Ho et al. 2012 Marine Ecology Progress Series 444:275-287","Bahamas","Bimini ",25.59,-79.315,NA,"2009","control region, cytochrome c oxidase subunit I",9,"1029",1,NA,0.0136,NA,"mtdna101",10
"1224","Opistognathus aurifrons","Yellowhead jawfish","Ho et al. 2012 Marine Ecology Progress Series 444:275-287","Netherlands Antilles","Aruba ",12.852,-70.057,NA,"2009","control region, cytochrome c oxidase subunit I",15,"1029",1,NA,0.02584,NA,"mtdna101",10
"1225","Opistognathus aurifrons","Yellowhead jawfish","Ho et al. 2012 Marine Ecology Progress Series 444:275-287","United States","South Florida ",25.349,-80.259,NA,"2009","control region, cytochrome c oxidase subunit I",15,"1029",1,NA,0.01007,NA,"mtdna101",10
"1226","Opistognathus aurifrons","Yellowhead jawfish","Ho et al. 2012 Marine Ecology Progress Series 444:275-287","US Virgin Islands ","St. Thomas ",18.318,-64.99,NA,"2009","control region, cytochrome c oxidase subunit I",14,"1029",1,NA,0.01625,NA,"mtdna101",10
"1227","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","China","Jiaonan",35.8333333333333,120.75,NA,"2009","cytb",11,"501",0.927,NA,0.003,NA,"mtdna102",80
"1228","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","China","Jiaonan",35.8333333333333,120.75,NA,"2009","D-loop",12,"519",1,NA,0.019,NA,"mtdna102",80
"1229","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","China","Jiaonan",35.8333333333333,120.75,NA,"2009","cytochrome c oxidase subunit I",12,"642",0.742,NA,0.003,NA,"mtdna102",80
"1230","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","China","Zhoushan",31,122.5,NA,"2011","cytb",30,"501",0.851,NA,0.006,NA,"mtdna102",80
"1231","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","China","Zhoushan",31,122.5,NA,"2011","D-loop",24,"519",0.993,NA,0.021,NA,"mtdna102",80
"1232","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","China","Zhoushan",31,122.5,NA,"2011","cytochrome c oxidase subunit I",30,"642",0.814,NA,0.009,NA,"mtdna102",80
"1233","Oplegnathus fasciatus","Barred knifejaw","Xiao et al. 2016 Mitochondrial DNA A 27:2045-2052","Taiwan","Taiwan",25.3166666666667,119.75,NA,"2012","D-loop",4,"519",1,NA,0.024,NA,"mtdna102",80
"1234","Pagellus erythrinus","Common pandora","Angiulli et al. 2016 Marine Biology Research 12:4-15","Italy","Acitrezza",38.0333333333333,17.5,NA,"2010","control region",12,"995",1,NA,0.021,NA,"mtdna102",60
