spp,CommonName,Source,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Te Arai Point,-36,6,,174,38,,,control region,11,400,1,0.038,0.032,0.018
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Hauraki Gulf,-35,54,,175,5,,,control region,6,400,0.933,0.122,0.024,0.015
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Kaipara,-36,15,,174,14,,,control region,12,400,1,0.034,0.031,0.017
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Wellington,-41,5,,174,51,,,control region,14,400,1,0.027,0.033,0.018
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Nelson,-41,16,,173,14,,,control region,6,400,1,0.045,0.037,0.021
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Banks Peninsula,-43,35,,172,43,,,control region,5,400,1,0.127,0.025,0.017
Grahamina gymnota,Tasmanian robust triplefin,Hickey et. al 2009 Molecular Ecology 18:680-697,New Zealand,Bluff,-46,35,,168,20,,,control region,6,400,1,0.096,0.024,0.015
Opistognathus aurifrons ,Yellowhead jawfish,Ho et al. 2012 Marine Ecology Progress Series 444:275-287,United States,South Florida ,25.349,,,-80.259,,,2009,control region and COI,15,1029,1,,0.01007,
Opistognathus aurifrons ,Yellowhead jawfish,Ho et al. 2012 Marine Ecology Progress Series 444:275-287,Bahamas,Bimini ,25.59,,,-79.315,,,2009,control region and COI,9,1029,1,,0.0136,
Opistognathus aurifrons ,Yellowhead jawfish,Ho et al. 2012 Marine Ecology Progress Series 444:275-287,US Virgin Islands ,St. Thomas ,18.318,,,-64.99,,,2009,control region and COI,14,1029,1,,0.01625,
Opistognathus aurifrons ,Yellowhead jawfish,Ho et al. 2012 Marine Ecology Progress Series 444:275-287,Netherlands Antilles,Aruba ,12.852,,,-70.057,,,2009,control region and COI,15,1029,1,,0.02584,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,UAE,Abu Dhabi,24.607482,,,54.249496,,,2001-2002,D-loop region,42,334,0.986,,0.038,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,Bahrain,Bahrain,26.380727,,,50.797832,,,2001-2002,D-loop region,38,334,0.982,,0.035,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,Kuwait,Kuwait,29.122413,,,48.628079,,,2001-2002,D-loop region,24,334,0.982,,0.042,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,Iran,Bushehr,28.863912,,,50.69786,,,2001-2002,D-loop region,17,334,0.993,,0.041,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,UAE,Ras Al Khaimah,25.893152,,,55.830936,,,2001-2002,D-loop region,26,334,0.991,,0.042,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,UAE,Dibba,25.625414,,,56.410141,,,2001-2002,D-loop region,25,334,0.96,,0.035,
Scomberomorus commerson,Narrow-barred Spanish mackerel ,Hoolihan Anand Herwherden 2006,Oman,Masirah,20.593566,,,59.112462,,,2001-2002,D-loop region,21,334,0.967,,0.038,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,Canada ,"Kyuquot Sound, Canada ",50.0024,,,-127.3542,,,,cyt b ,11,782,0.855,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Neah Bay, Washington ",48.424,,,-124.6904,,,,cyt b ,17,782,0.757,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Depoe Bay, Oregon",44.8107,,,-124.0679,,,,cyt b ,56,782,0.844,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Bandon, Oregon",43.1175,,,-124.4349,,,,cyt b ,32,782,0.869,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Cape Blanco, Oregon",42.8385,,,-124.5666,,,,cyt b ,50,782,0.853,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Brookings, Oregon",42.05111,,,-124.3068,,,,cyt b ,46,782,0.776,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Shelter Cove, Oregon",40.0305,,,-124.0828,,,,cyt b ,63,782,0.879,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Bodega Bay, California ",38.2304,,,-123.0144,,,,cyt b ,12,782,0.785,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Half Moon Bay, California",37.4632,,,-122.46,,,,cyt b ,45,782,0.832,,0.002,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Piedras Blancas, California",35.6712,,,-121.2893,,,,cyt b ,39,782,0.635,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"San Miguel Island, California",34.0547,,,-120.35,,,,cyt b ,30,782,0.489,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Santa Barbara, California",34.3963,,,-119.6937,,,,cyt b ,95,782,0.39,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"Palos Verdes, California ",33.7338,,,-118.3893,,,,cyt b ,46,782,0.452,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,United States,"San Diego, California ",32.727,,,-117.2771,,,,cyt b ,54,782,0.499,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,Mexico ,"Ensenada, Mexico ",31.8321,,,-116.642,,,,cyt b ,38,782,0.598,,0.001,
Sebastes miniatus ,Vermilion rockfish,Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581,Mexico ,"San Quintin, Mexico ",30.5729,,,-116.0522,,,,cyt b ,50,782,0.751,,0.002,
Scombrops gilberti,Gnomefish,Itoi et al. 2011 Fisheries Science 77: 975-981,Japan,Iwate Prefecture,39.595573,,,142.265935,,,2008,cyt b,59,1141,0.935,0.017,0.0034,0.0019
Scombrops gilberti,Gnomefish,Itoi et al. 2011 Fisheries Science 77: 975-981,Japan ,Izu Islands,34.585087,,,139.232151,,,2008.5,cyt b,37,1141,0.958,0.019,0.0038,0.0021
Siganus guttatus,Goldlined spinefoot,Iwamoto et al. 2012 Fisheries Science 78: 249-257,Japan,Okinawa,26.439722,,,128.068735,,,2005,tRNA Thr to control region,56,451,0.878,0.032,0.016,0.009
Siganus guttatus,Goldlined spinefoot,Iwamoto et al. 2012 Fisheries Science 78: 249-257,Japan,Miyako,24.728444,,,125.491978,,,2006,tRNA Thr to control region,42,451,0.964,0.012,0.02,0.011
Siganus guttatus,Goldlined spinefoot,Iwamoto et al. 2012 Fisheries Science 78: 249-257,Japan,Ishigaki,24.36386,,,124.285379,,,2005.5,tRNA Thr to control region,53,451,0.913,0.023,0.021,0.011
Siganus guttatus,Goldlined spinefoot,Iwamoto et al. 2012 Fisheries Science 78: 249-257,China,"Pingtung, Taiwan",22.456759,,,120.433426,,,2007.5,tRNA Thr to control region,51,451,0.766,0.053,0.017,0.009
Siganus guttatus,Goldlined spinefoot,Iwamoto et al. 2012 Fisheries Science 78: 249-257,Philippines,Cebu,10.347451,,,124.005367,,,2007,tRNA Thr to control region,52,451,0.97,0.011,0.017,0.009
Siganus spinus,Little spinefoot,Iwamoto et. al 2009 Journal of Oceanography 65:103-112,Japan,Okinawa Island,26,,,127.6,,,2006,control region,35,461,0.9244,0.00405674,0.0063,0.000676123
Siganus spinus,Little spinefoot,Iwamoto et. al 2009 Journal of Oceanography 65:103-112,Japan,Ishigaki Island,24.4,,,124.3,,,2006,control region,34,461,0.8984,0.004973459,0.0059,0.000685994
Siganus guttatus,Goldlined spinefoot,Iwamoto et. al 2009 Journal of Oceanography 65:103-112,Japan,Okinawa Island,26,,,127.6,,,2005,control region,56,461,0.8766,0.00427618,0.0151,0.001069045
Siganus guttatus,Goldlined spinefoot,Iwamoto et. al 2009 Journal of Oceanography 65:103-112,Japan,Miyako Island,24.8,,,125.5,,,2006,control region,42,461,0.964,0.00185164,0.0192,0.001543034
Siganus guttatus,Goldlined spinefoot,Iwamoto et. al 2009 Journal of Oceanography 65:103-112,Japan,Ishigaki Island,24.4,,,124.3,,,2006,control region,54,461,0.9161,0.002993821,0.0199,0.001360828
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Matsu,26.164,,,120,,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,,0.00399,
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Fulung,25.066,,,121,8,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",7,717,0.8792,,0.00381,
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Tanshui,25.165,,,121,2,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,,0.00232,
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Wuchi,24.187,,,120,6,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.8485,,0.00274,
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Taihsi,23.655,,,120,2,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.8485,,0.00232,
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Penghu,23.554,,,119,5,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,,0.00269,
Acanthopagrus schlegeli,black porgy,Jean et al. 1998,Taiwan,Tungkang,22.447,,,120,6,,,"5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.7879,,0.00316,
Leuresthes tenuis,California grunion,Johnson et al. 2009 Copeia 3: 465-474,United States,"Doheny State Beach, CA (OC)",33,27,,117,41,,2006,control region,12,957,0.939,0.058,0.002,0.001
Leuresthes tenuis,California grunion,Johnson et al. 2009 Copeia 3: 465-474,United States,"Malibu Lagoon State Beach, CA (LA)",34,2,,118,40,,2006,control region,17,957,0.846,0.089,0.002,0.001
Leuresthes tenuis,California grunion,Johnson et al. 2009 Copeia 3: 465-474,United States,"Crown Memorial State Beach, CA (SF)",37,45,,122,15,,2006,control region,21,957,0.895,0.061,0.002,0.001
Diplodus sargus,White seabream ,Kaoueche et al. 2013. African Journal of Marine Science,Mediterranian Sea,Bizerta,37.544577,,,9.686279,,,,cytochrome b ,19,671,0.578,,0.001,
Diplodus sargus,White seabream ,Kaoueche et al. 2013. African Journal of Marine Science,Mediterranian Sea,Ghar Melh Lagoon,36.949892,,,10.389404,,,,cytochrome b ,8,671,0.785,,0.0018,
Diplodus sargus,White seabream ,Kaoueche et al. 2013. African Journal of Marine Science,Mediterranian Sea,Mahdia,35.675147,,,11.114502,,,,cytochrome b ,25,671,0.77,,0.0017,
Diplodus sargus,White seabream ,Kaoueche et al. 2013. African Journal of Marine Science,Mediterranian Sea,Gabes Gulf,34.288992,,,10.323486,,,,cytochrome b ,7,671,0.857,,0.0017,
Diplodus sargus,White seabream ,Kaoueche et al. 2013. African Journal of Marine Science,Mediterranian Sea,El Biban Lagoon,34.052659,,,10.389404,,,,cytochrome b ,7,671,0.952,,0.0024,
Ginglymostoma cirratum,Nurse shark,Karl et al. 2012 Marine Biology 159:489-498,Brazil,BRI,1.142502,,,-31.655275,,,,control region and mitochondrial cytochrome c oxidase I,37,1166,0.43,,0.0004,
Ginglymostoma cirratum,Nurse shark,Karl et al. 2012 Marine Biology 159:489-498,Brazil,NTL,-5.771085,,,-35.199566,,,,control region and mitochondrial cytochrome c oxidase I,15,1166,0.56,,0.0005,
Ginglymostoma cirratum,Nurse shark,Karl et al. 2012 Marine Biology 159:489-498,Bahamas,BMN,27.44979,,,-76.391603,,,,control region and mitochondrial cytochrome c oxidase I,21,1166,0.43,,0.0004,
Ginglymostoma cirratum,Nurse shark,Karl et al. 2012 Marine Biology 159:489-498,USA,FLD,29.380941,,,-83.199384,,,,control region and mitochondrial cytochrome c oxidase I,37,1166,0.16,,0.0001,
Ginglymostoma cirratum,Nurse shark,Karl et al. 2012 Marine Biology 159:489-498,Belize,BLZ,18.062312,,,-86.323244,,,,control region and mitochondrial cytochrome c oxidase I,33,1166,0.49,,0.0004,
Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,Atlantic Ocean,Black Sea,41.289294,,,35.332304,,,,cytochrome oxidase c subunit I,384,655,0.8422,,,
Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,Atlantic Ocean,Marmara Sea,40.002102,,,26.062464,,,,cytochrome oxidase c subunit I,202,655,0.8422,,,
Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,Atlantic Ocean,Mediterranean Sea,36.100049,,,33.8202825,,,,cytochrome oxidase c subunit I,253,655,0.8422,,,
Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,Atlantic Ocean,Aegean Sea,38.112959,,,26.142927,,,,cytochrome oxidase c subunit I,251,655,0.8422,,,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Korea,Gangneung,37,,,129,,,,control region,28,484,1,,0.019,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Japan,Erimo,41,,,144.5,,,,control region,48,484,0.989,,0.02,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Japan,Tomakomai,43,,,143,,,,control region,44,484,0.996,,0.021,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Japan,Onishika,44.5,,,141.3,,,,control region,46,484,0.992,,0.02,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Japan,Teshio,45,,,141.6,,,,control region,48,484,0.996,,0.022,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Japan,Tomamae,44.7,,,143,,,,control region,46,484,0.996,,0.02,
Pleuronectes herzensteini,Brown Sole,Kim et al. 2010 Animal Cells and Systems 14:197-206,Japan,Yoichi,44,,,141,,,,control region,48,484,0.997,,0.015,
Ammodytes personatus,Pacific sandlance ,Kim Park Kim 2006,South Korea,"Jumunjin, East Sea",37.979,,,128.8893,,,2005,control region,24,750,1,,0.0255,
Ammodytes personatus,Pacific sandlance ,Kim Park Kim 2006,South Korea,"Taean, West Sea",36.756,,,125.995612,,,2005,control region,24,750,1,,0.0099,
Ammodytes personatus,Pacific sandlance ,Kim Park Kim 2006,South Korea,"Sangju, South Sea",34.814,,,128.285453,,,2005,control region,25,750,0.99,,0.0097,
Pterois miles,Lionfish,Kochzius Blohm 2005,Israel,Gulf of Aqaba,28.8,,,34,7,5,1998,Control region,54,222,0.841,,0.0197,
Pterois miles,Lionfish,Kochzius Blohm 2005,Egypt,Northern Red Sea,27.4,,,39,,,1998,Control region,34,222,0.87,,0.0172,
Diaphus theta,California headlightfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W2,42.79,,,146.9,,,,cytochrome b,20,621,0.95,0.062609903,0.00497,0.000673056
Diaphus theta,California headlightfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W4,49.5,,,173.9,,,,cytochrome b,20,621,0.83,0.015652476,0.0032,0.00047181
Diaphus theta,California headlightfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,E3,51.8,,,-144.5,,,,cytochrome b,17,621,0.93,0.009701425,0.00426,0.000649995
Stenobrachius leucopsarus,Northern lampfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W2,42.79,,,146.9,,,,cytochrome b,20,621,0.96,0.207954322,0.00739,0.000945857
Stenobrachius leucopsarus,Northern lampfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W3,48,,,165,,,,cytochrome b,17,621,0.97,0.007276069,0.00933,0.001275737
Stenobrachius leucopsarus,Northern lampfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W5,48,,,177,,,,cytochrome b,20,621,0.98,0.004472136,0.00821,0.001037536
Stenobrachius leucopsarus,Northern lampfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,B1,56.5,,,180,,,,cytochrome b,20,621,0.98,0.004472136,0.00923,0.001151575
Stenobrachius leucopsarus,Northern lampfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,E1,55,,,-149,,,,cytochrome b,14,621,0.99,0.008017837,0.00979,0.001488645
Stenobrachius leucopsarus,Northern lampfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,E2,54,,,-150,,,,cytochrome b,14,621,0.97,0.01069045,0.00987,0.001085081
Stenobrachius nannochir,Garnet lanternfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W1,40,,,145,,,,cytochrome b,20,621,0.99,0.004472136,0.01459,0.001750841
Stenobrachius nannochir,Garnet lanternfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W3,48,,,165,,,,cytochrome b,20,621,0.98,0.004472136,0.01285,0.001556303
Stenobrachius nannochir,Garnet lanternfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,W5,48,,,177,,,,cytochrome b,20,621,0.98,0.004472136,0.01021,0.001261142
Stenobrachius nannochir,Garnet lanternfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Bering Sea,B1,56.5,,,180,,,,cytochrome b,20,621,0.99,0.004472136,0.01359,0.001639038
Stenobrachius nannochir,Garnet lanternfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,E4,50,,,-138,,,,cytochrome b,18,621,1,0.004714045,0.01421,0.00181255
Stenobrachius nannochir,Garnet lanternfish,Kojima et. al 2009 Journal of Oceanography 65:187-193,Pacific Ocean,E5,45,,,-139,,,,cytochrome b,20,621,0.98,0.004472136,0.01365,0.001645746
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Verval,20.54,,,70.22,,,2007,D-loop region,50,500,0.9167,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Ratnagiri,16.59,,,73.18,,,2008,D-loop region,50,500,0.8686,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Kochi,9.58,,,76.16,,,2008,D-loop region,50,500,0.9061,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Kavaratti,10.34,,,72.37,,,2008,D-loop region,50,500,0.9355,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Port-Blair,11.4,,,92.46,,,2008,D-loop region,50,500,0.9192,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Tuticorin,8.49,,,78.08,,,2009,D-loop region,50,500,0.9722,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Pondicherry,11.56,,,79.5,,,2008,D-loop region,50,500,0.951,,,
Euthynnus affinis,Kawakawa,Kumar et al. 2012 Conservation Genetics 13:1119-1131,Indian Ocean,Vizag,17.42,,,83.15,,,2009,D-loop region,50,500,0.9478,,,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Veravel,20.54,,,70.22,,,2007,D-loop region,50,500,0.9992,,0.031,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Ratnagiri,16.59,,,73.18,,,2008,D-loop region,50,500,0.9992,,0.043,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Kochi,9.58,,,76.16,,,2008,D-loop region,50,500,1,,0.056,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Kavaratti,10.34,,,72.37,,,2008,D-loop region,50,500,1,,0.026,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Port-Blair,11.4,,,92.46,,,2009,D-loop region,14,500,0.989,,0.091,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Tuticorin,8.49,,,78.08,,,2009,D-loop region,50,500,1,,0.027,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Pondicherry,11.56,,,79.5,,,2008,D-loop region,50,500,1,,0.04,
Auxis thazard,Frigate tuna ,Kumar et al. 2012 Marine Biology Research 8:992-1002,India ,Vizag,17.42,,,86.15,,,2009,D-loop region,50,500,0.9984,,0.034,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,New Zealeand,Bay of Plenty,-37.75281,,,177.025493,,,2005,control region,7,1928,0.73,,0.06,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,New Zealeand,Hauraki Gulf,-36.704133,,,174.844017,,,2005,control region,16,1928,0.73,,0.06,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,New Zealeand,Mokohinau,-35.91092,,,175.113613,,,2005,control region,13,1928,0.73,,0.06,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,New Zealeand,Poor Knights Island,-35.47236,,,174.748347,,,2005,control region,93,1928,0.73,,0.06,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,New Zealeand,Spirits Bay,-34.438165,,,172.812345,,,2005,control region,5,1928,0.73,,0.06,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,New Zealeand,West Coast,-37.020046,,,174.699386,,,2005,control region,9,1928,0.73,,0.06,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,Australia,Victoria,-39.368279,,,145.488274,,,2005,control region,6,1928,0.93,,0.19,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,Australia,Western Australia,-26.115986,,,112.924803,,,2005,control region,6,1928,1,,0.11,
Dasyatis brevicaudata,Short-Tailed Stingray,Le Port and Lavery. 2012 Journal of Heredity 103(2):174-185,South Africa,Western Cape,-34.225429,,,22.157593,,,2005,control region,9,1928,0.03,,0.09,
Pleuronectes yokohamae,Marbeled sole,Lee et al. 2012 Animal Cells and Systems,Korea ,Namhae,34.45,,,127.6,,,2011,control region,53,379,0.967,,,
Pleuronectes yokohamae,Marbeled sole,Lee et al. 2012 Animal Cells and Systems,Korea ,Jaran Bay,34.85,,,128.2,,,2010,control region,51,379,0.917,,,
Pleuronectes yokohamae,Marbeled sole,Lee et al. 2012 Animal Cells and Systems,Korea ,Yokji Island,34.38,,,128.3,,,2010,control region,55,379,0.983,,,
Pleuronectes yokohamae,Marbeled sole,Lee et al. 2012 Animal Cells and Systems,Korea ,Hansan,34.8,,,128.4,,,2010,control region,56,379,0.961,,,
Pleuronectes yokohamae,Marbeled sole,Lee et al. 2012 Animal Cells and Systems,Korea ,Jinhae Bay,34.9,,,128.3,,,2010,control region,50,379,0.976,,,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Belgium,Antwerpen,51,2,1,4,4,0,,cytb,41,304,0.14,,0.002,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,France,Saint-Brieuc,48,5,1,-2,7,6,,cytb,38,304,0.36,,0.004,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Gulf of Biscay,Yeu Island,46,7,2,-2,3,4,,cytb,22,304,0.4,,0.005,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Portugal,Aveiro,40,6,3,-8,6,5,,cytb,48,304,0.37,,0.005,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Morocco,Rabat,34,0,2,-6,8,4,,cytb,35,304,0.44,,0.005,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Morocco,Martil,35,6,1,-5,2,6,,cytb,14,304,0.53,,0.007,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Atlantic/Alboran Basin,Alboran Sea,36,,,-3,,,,cytb,9,304,0.69,,0.01,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Mediterranean basin,Mar Menor,37,7,6,0,8,3,,cytb,32,304,0.06,,0.0002,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,France,Etang-du-Prí©vost,43,2,7,3,4,7,,cytb,20,304,0.1,,0.0004,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,France,Marseille,43,2,9,5,3,7,,cytb,60,304,0.1,,0.0004,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Algeria,Gulf of Annaba,36,5,4,7,4,5,,cytb,51,304,0.04,,0.0005,
Dicentrarchus labrax,Common Sea Bass,Lemair et al. 2005 Journal of Evolutionary Biology 18:70-80,Siculo-Tunisian Strait,Ichkeul lake,37,1,6,9,6,6,,cytb,38,304,0.15,,0.0006,
